source_id,dataset_title,publisher,snapshot_or_coverage,rows_used,license,source_url,download_url,archive_sha256,provenance_class,limits
aoty_kaggle_archive,Contemporary album ratings and reviews,Kauvin Lucas,1940 to 2020-10; updated 2021-04-13,32358 albums; 116384 training excerpts,GPL-2.0,https://www.kaggle.com/datasets/kauvinlucas/30000-albums-aggregated-review-ratings,https://www.kaggle.com/api/v1/datasets/download/kauvinlucas/30000-albums-aggregated-review-ratings,b32bc999964deee9244c13bc1df55afa2277e7ccc32bda34b5bc913d07cd65eb,third_party_observed_archive,Historical cross-section; excludes some release types; not a post-2022 time series
aoty_kaggle_snapshot,AOTY 5000 Highest User Rated Music Albums,tabibyte,updated 2024-10-20,5000 albums,CC BY 3.0,https://www.kaggle.com/datasets/tabibyte/aoty-5000-highest-user-rated-albums,https://www.kaggle.com/api/v1/datasets/download/tabibyte/aoty-5000-highest-user-rated-albums,d14fd33233701fe48508096104c2d9bac7648523c5783ea5c77da8f514b274f1,third_party_observed_archive,High-rating-selected cross-section; not representative of all AOTY albums
rym_kaggle_snapshot,Rate Your Music: The Top 5000 Most Popular Albums,Bryan O.,collected 2022-03-11,5000 albums,Not specified,https://www.kaggle.com/datasets/tobennao/rym-top-5000,https://www.kaggle.com/api/v1/datasets/download/tobennao/rym-top-5000,e41350ef9202c5b09911404d5d14d78742ae80054a9784acaf87758e08aeaee1,third_party_observed_archive,Popularity-selected cross-section; publisher does not state a license
