ablation,n,positives,threshold,accuracy,precision,recall,f1,fpr,fnr,brier,ece,tp,fp,tn,fn,auroc,auprc
full,22184,6000,0.9,0.9286422646952759,0.9617394940413966,0.7666666666666667,0.8531948437355096,0.011307464162135442,0.23333333333333334,0.05599867319415832,0.06256655227737867,4600,183,16001,1400,0.9770340562695666,0.9518823747338147
without_behavior,22184,6000,0.89,0.9281013342949874,0.9602925809822361,0.7658333333333334,0.8521094112192861,0.011739990113692535,0.23416666666666666,0.05340073443990162,0.054772300658210114,4595,190,15994,1405,0.9775192525539628,0.9525853264100601
without_content,22184,6000,0.9,0.8804994590695997,0.934596418375292,0.6001666666666666,0.7309448898812544,0.015570934256055362,0.3998333333333333,0.09412270054366231,0.1063919932177211,3601,252,15932,2399,0.9399580964738838,0.884875815845619
without_cross_source,22184,6000,0.9,0.9040750090155066,0.9531835205992509,0.6786666666666666,0.7928348909657321,0.012357884330202669,0.32133333333333336,0.07547197095125405,0.08850389882246483,4072,200,15984,1928,0.9567638047866206,0.9202483800468347
without_provenance,22184,6000,0.9,0.9062387306166606,0.9518211157215306,0.6881666666666667,0.7988005416908492,0.01291398912506179,0.31183333333333335,0.07251480436829535,0.08240018082686812,4129,209,15975,1871,0.9636599934091283,0.9256902792417717
without_temporal,22184,6000,0.9,0.8660295708618825,0.9983541803818301,0.5055,0.6711661872095597,0.00030894710825506676,0.4945,0.13464057386225736,0.15110365384523225,3033,5,16179,2967,0.887963981916296,0.802195760427813
